id,latitude,longitude,Label
YXD,53.5724983215,-113.52100372299999,Edmonton City Centre (Blatchford Field) Airport
YXE,52.170799255371094,-106.6999969482422,Saskatoon John G. Diefenbaker International Airport
YXH,50.01890182495117,-110.72100067138672,Medicine Hat Airport
YXJ,56.23809814453125,-120.73999786376952,Fort St John Airport
YXL,50.11389923095703,-91.9052963256836,Sioux Lookout Airport
YXP,66.1449966431,-65.71360015869999,Pangnirtung Airport
YXR,47.6974006546,-79.84734535220001,Earlton (Timiskaming Regional) Airport
YXS,53.8894004822,-122.679000854,Prince George Airport
YXT,54.468498,-128.576009,Northwest Regional Airport Terrace-Kitimat
YXU,43.035599,-81.1539,London Airport
YXX,49.02529907226562,-122.36100006103516,Abbotsford Airport
YXY,60.709598541300004,-135.067001343,Whitehorse / Erik Nielsen International Airport
YYB,46.363602,-79.422798,North Bay Jack Garland Airport
YYC,51.113899231000005,-114.019996643,Calgary International Airport
YYD,54.82469940185547,-127.18299865722656,Smithers Airport
YYE,58.8363990784,-122.59700012200001,Fort Nelson Airport
YYF,49.46310043334961,-119.60199737548828,Penticton Airport
YYG,46.290000915527344,-63.12110137939453,Charlottetown Airport
YYH,69.5466995239,-93.57669830319999,Taloyoak Airport
YYJ,48.646900177,-123.426002502,Victoria International Airport
YYL,56.86389923095703,-101.07599639892578,Lynn Lake Airport
YYN,50.291900634799994,-107.691001892,Swift Current Airport
YYQ,58.73920059204102,-94.06500244140624,Churchill Airport
YYR,53.3191986084,-60.425800323500006,Goose Bay Airport
YYT,47.618598938000005,-52.751899719200004,St. John's International Airport
YYU,49.41389846801758,-82.46749877929688,Kapuskasing Airport
YYW,50.29029846191406,-88.90969848632812,Armstrong Airport
YYY,48.60860061645508,-68.20809936523439,Mont Joli Airport
YYZ,43.6772003174,-79.63059997559999,Lester B. Pearson International Airport
YZD,43.74250030517578,-79.4655990600586,Downsview Airport
YZE,45.88529968261719,-82.56780242919922,Gore Bay Manitoulin Airport
YZF,62.46279907226562,-114.44000244140624,Yellowknife Airport
YZH,55.293098449700004,-114.777000427,Slave Lake Airport
YZP,53.25429916379999,-131.813995361,Sandspit Airport
YZR,42.9994010925293,-82.30889892578125,Chris Hadfield Airport
YZT,50.68059921264648,-127.36699676513672,Port Hardy Airport
YZU,54.14390182495117,-115.78700256347656,Whitecourt Airport
YZV,50.22330093383789,-66.26560211181639,Sept-Îles Airport
YZW,60.17279815673828,-132.74299621582028,Teslin Airport
YZX,44.98440170288086,-64.91690063476561,CFB Greenwood
ZFA,62.20750045776367,-133.37600708007812,Faro Airport
ZFM,67.40750122070311,-134.86099243164062,Fort Mcpherson Airport
QLD,36.50360107421875,2.814169883728028,Blida Airport
BUJ,35.33250045776367,4.206389904022217,Bou Saada Airport
BJA,36.712001800500005,5.0699200630200005,Soummam Airport
ALG,36.691001892089844,3.215409994125366,Houari Boumediene Airport
DJG,24.292801,9.45244,Djanet Inedbirene Airport
VVZ,26.7234992981,8.62265014648,Illizi Takhamalt Airport
TMR,22.8115005493,5.45107984543,Aguenar – Hadj Bey Akhamok Airport
GJL,36.7951011658,5.873610019680001,Jijel Ferhat Abbas Airport
MZW,33.535900116,-0.242353007197,Mecheria Airport
AAE,36.822201,7.8091740000000005,Rabah Bitat Airport
CZL,36.2760009765625,6.620389938354492,Mohamed Boudiaf International Airport
TEE,35.4315986633,8.120719909670001,Cheikh Larbi Tébessi Airport
HRM,32.93040084838867,3.311539888381958,Hassi R'Mel Airport
TID,35.3410987854,1.4631500244100002,Bou Chekif Airport
TIN,27.700399398800002,-8.167099952700001,Tindouf Airport
CFK,36.212699890100005,1.33176994324,Ech Cheliff Airport
TAF,35.54240036010742,-0.5322780013084412,Tafaraoui Airport
TLM,35.0167007446,-1.4500000476800001,Zenata – Messali El Hadj Airport
ORN,35.6239013672,-0.6211829781529999,Es Senia Airport
BFW,35.1717987061,-0.593275010586,Sidi Bel Abbes Airport
MUW,35.207698822021484,0.14714199304580688,Ghriss Airport
AZR,27.83760070800781,-0.1864140033721924,Touat Cheikh Sidi Mohamed Belkebir Airport
BSK,34.793300628699996,5.73823022842,Biskra Airport
ELG,30.5713005065918,2.8595900535583496,El Golea Airport
GHA,32.38410186767578,3.7941100597381587,Noumérat - Moufdi Zakaria Airport
HME,31.673000335700003,6.140439987180001,Oued Irara Airport
INZ,27.2509994507,2.51202011108,In Salah Airport
TGR,33.067798614501946,6.088669776916504,Touggourt Sidi Madhi Airport
LOO,33.764400482199996,2.92833995819,Laghouat Airport
TMX,29.237100601199998,0.276033014059,Timimoun Airport
OGX,31.917200088500977,5.412779808044434,Ain el Beida Airport
IAM,28.0515,9.64291,In Aménas Airport
COO,6.357230186462402,2.384350061416626,Cadjehoun Airport
OUA,12.3532,-1.51242,Ouagadougou Airport
BOY,11.160099983215332,-4.33096981048584,Bobo Dioulasso Airport
ACC,5.605189800262451,-0.16678600013256073,Kotoka International Airport
TML,9.55718994140625,-0.8632140159606934,Tamale Airport
NYI,7.361830234527588,-2.3287599086761475,Sunyani Airport
TKD,4.896059989929199,-1.7747600078582764,Takoradi Airport
ABJ,5.261390209197998,-3.9262900352478023,Port Bouet Airport
BYK,7.738800048828125,-5.073669910430908,Bouaké Airport
DJO,6.7928099632263175,-6.473189830780028,Daloa Airport
HGO,9.38718032837,-5.556660175319999,Korhogo Airport
MJC,7.2720699310302725,-7.58735990524292,Man Airport
SPY,4.746719837188722,-6.660820007324219,San Pedro Airport
ASK,6.9031701088,-5.36558008194,Yamoussoukro Airport
ABV,9.006790161132812,7.263169765472412,Nnamdi Azikiwe International Airport
AKR,7.246739864349365,5.3010101318359375,Akure Airport
BNI,6.3169798851013175,5.599500179290772,Benin Airport
CBQ,4.976019859313965,8.347200393676758,Margaret Ekpo International Airport
ENU,6.4742698669433585,7.561960220336914,Akanu Ibiam International Airport
IBA,7.362460136413574,3.97832989692688,Ibadan Airport
ILR,8.440210342407228,4.493919849395752,Ilorin International Airport
JOS,9.639829635620117,8.869050025939941,Yakubu Gowon Airport
KAD,10.696000099182127,7.320109844207764,Kaduna Airport
KAN,12.0476,8.52462,Mallam Aminu International Airport
MIU,11.855299949645994,13.080900192260742,Maiduguri International Airport
MDI,7.703880000000001,8.61394,Makurdi Airport
LOS,6.5773701667785645,3.321160078048706,Murtala Muhammed International Airport
MXJ,9.652170181274414,6.462259769439697,Minna Airport
PHC,5.0154900550842285,6.94959020614624,Port Harcourt International Airport
SKO,12.916299819946287,5.207190036773682,Sadiq Abubakar III International Airport
YOL,9.257550239562988,12.430399894714355,Yola Airport
ZAR,11.1302,7.685810000000001,Zaria Airport
MFQ,13.5024995803833,7.1267499923706055,Maradi Airport
NIM,13.4815,2.18361,Diori Hamani International Airport
THZ,14.875699996948242,5.265359878540039,Tahoua Airport
AJY,16.965999603271484,8.000109672546388,Mano Dayak International Airport
ZND,13.779000282287598,8.983759880065918,Zinder Airport
MIR,35.75809860229492,10.75469970703125,Monastir Habib Bourguiba International Airport
TUN,36.85100173950195,10.22719955444336,Tunis Carthage International Airport
GAF,34.42200088500977,8.822500228881836,Gafsa Ksar International Airport
GAE,33.87689971923828,10.103300094604492,Gabès Matmata International Airport
DJE,33.875,10.775500297546387,Djerba Zarzis International Airport
EBM,31.70429992675781,9.254619598388672,El Borma Airport
SFA,34.71799850463867,10.690999984741213,Sfax Thyna International Airport
TOE,33.939701080322266,8.110560417175293,Tozeur Nefta International Airport
LRL,9.767330169677734,1.0912499427795408,Niamtougou International Airport
LFW,6.165609836578369,1.2545100450515747,Lomé-Tokoin Airport
ANR,51.189399719200004,4.46027994156,Antwerp International Airport (Deurne)
BRU,50.9014015198,4.48443984985,Brussels Airport
CRL,50.459202000000005,4.4538199999999994,Brussels South Charleroi Airport
KJK,50.817199707,3.2047200202900004,Wevelgem Airport
LGG,50.63740158081055,5.443220138549805,Liège Airport
OST,51.1988983154,2.8622200489,Ostend-Bruges International Airport
OBL,51.264702,4.75333,Zoersel (Oostmalle) Airfield
AOC,50.981945,12.506389,Altenburg-Nobitz Airport
IES,51.293609619099996,13.3561105728,Riesa-Göhlis Airport
REB,53.306388855,12.7522220612,Rechlin-Lärz Airport
QXH,52.203609,13.156389,Schönhagen Airport
BBH,54.338253,12.710515,Barth Airport
ZMG,52.073612,11.626389,"Magdeburg ""City"" Airport"
CBU,51.889441999999995,14.531944000000001,Cottbus-Drewitz Airport
SXF,52.380001,13.5225,Berlin-Schönefeld Airport
DRS,51.1328010559082,13.767200469970705,Dresden Airport
ERF,50.97980117797852,10.958100318908693,Erfurt Airport
FRA,50.033333,8.570556,Frankfurt am Main Airport
FMO,52.134601593,7.68483018875,Münster Osnabrück Airport
HAM,53.630401611328004,9.988229751586902,Hamburg Airport
THF,52.472999572753906,13.403900146484375,Berlin-Tempelhof International Airport
CGN,50.865898132299996,7.1427397728,Cologne Bonn Airport
DUS,51.289501,6.766780000000001,Düsseldorf Airport
MUC,48.353802,11.7861,Munich Airport
NUE,49.498699,11.078056,Nuremberg Airport
LEJ,51.423889,12.236388999999999,Leipzig/Halle Airport
SCN,49.2145996094,7.10950994492,Saarbrücken Airport
STR,48.6898994446,9.22196006775,Stuttgart Airport
TXL,52.5597,13.2877,Berlin-Tegel Airport
HAJ,52.461101532,9.68507957458,Hannover Airport
BRE,53.0475006104,8.78666973114,Bremen Airport
QEF,49.959998999999996,8.645833,Frankfurt-Egelsbach Airport
HHN,49.9487,7.263889999999999,Frankfurt-Hahn Airport
MHG,49.473057,8.514167,Mannheim-City Airport
EIB,50.991603999999995,10.47973,Eisenach-Kindel Airport
SGE,50.70769882202149,8.082969665527344,Siegerland Airport
XFW,53.5352783203125,9.835556030273438,Hamburg-Finkenwerder Airport
KEL,54.37944412231445,10.145277976989746,Kiel-Holtenau Airport
LBC,53.805400848400005,10.7192001343,Lübeck Blankensee Airport
ESS,51.40230178833008,6.9373297691345215,Essen Mulheim Airport
BFE,51.964721999999995,8.544444,Bielefeld Airport
MGL,51.230278000000006,6.504444,Mönchengladbach Airport
PAD,51.614101409899995,8.616319656369999,Paderborn Lippstadt Airport
DTM,51.518299102799986,7.61223983765,Dortmund Airport
AGB,48.425278000000006,10.931667,Augsburg Airport
OBF,48.081402000000004,11.2831,Oberpfaffenhofen Airport
RBM,48.90083312988281,12.516667366027832,Straubing Airport
FDH,47.671298980699994,9.511489868160002,Friedrichshafen Airport
SZW,53.426998,11.7834,Schwerin Parchim Airport
BYU,49.985001000000004,11.64,Bayreuth Airport
URD,49.794166564940994,11.133610725402999,Burg Feuerstein Airport
HOQ,50.288612365722656,11.856389045715332,Hof-Plauen Airport
ZQW,49.2094,7.4005600000000005,Zweibrücken Airport
ZQL,47.97333145139999,8.52222156525,Donaueschingen-Villingen Airport
BWE,52.319199,10.5561,Braunschweig-Wolfsburg Airport
KSF,51.417273,9.384967,Kassel-Calden Airport
BRV,53.50694300000001,8.572778,Bremerhaven Airport
EME,53.391109,7.2275,Emden Airport
WVN,53.502220153808594,8.05222225189209,Wilhelmshaven-Mariensiel Airport
BMK,53.59639,6.709167,Borkum Airport
NRD,53.70694351196289,7.230000019073486,Norderney Airport
FLF,54.77333450317383,9.378889083862305,Flensburg-Schäferhaus Airport
GWT,54.9132003784,8.34047031403,Westerland Sylt Airport
KDL,58.99079895019531,22.830699920654297,Kärdla Airport
URE,58.22990036010742,22.50950050354004,Kuressaare Airport
EPU,58.41899871826172,24.47279930114746,Pärnu Airport
TLL,59.41329956049999,24.8327999115,Lennart Meri Tallinn Airport
TAY,58.30749893189999,26.6903991699,Tartu Airport
ENF,68.36260223388699,23.424299240112,Enontekio Airport
KEV,61.856039,24.786686,Halli Airport
HEM,60.254600524902344,25.04280090332031,Helsinki Malmi Airport
HEL,60.317199707031,24.963300704956,Helsinki Vantaa Airport
HYV,60.6543998718,24.881099700900002,Hyvinkää Airfield
KTQ,62.1661,30.073601,Kitee Airport
IVL,68.607299804688,27.405300140380998,Ivalo Airport
JOE,62.662899017334006,29.607500076294,Joensuu Airport
JYV,62.399501800537,25.678300857544,Jyvaskyla Airport
KAU,63.127102,23.051399,Kauhava Airport
KEM,65.778701782227,24.582099914551,Kemi-Tornio Airport
KAJ,64.285499572754,27.692399978638,Kajaani Airport
KHJ,62.4625015259,22.3931007385,Kauhajoki Airport
KOK,63.721199035645,23.143100738525,Kokkola-Pietarsaari Airport
KAO,65.98760223388699,29.239400863647,Kuusamo Airport
KTT,67.700996398926,24.846799850464002,Kittilä Airport
KUO,63.007099151611,27.797800064087,Kuopio Airport
QLF,61.144199,25.693501,Lahti Vesivehmaa Airport
LPP,61.044601,28.144743,Lappeenranta Airport
MHQ,60.122200012207,19.898199081421,Mariehamn Airport
MIK,61.6866,27.201798999999998,Mikkeli Airport
OUL,64.930099487305,25.354600906372,Oulu Airport
POR,61.461700439453004,21.799999237061,Pori Airport
RVN,66.564796447754,25.830400466919,Rovaniemi Airport
SVL,61.943099975586,28.945100784302,Savonlinna Airport
SOT,67.3949966431,26.619100570700002,Sodankyla Airport
TMP,61.414100646973,23.604400634766,Tampere-Pirkkala Airport
TKU,60.514099121094,22.262800216675,Turku Airport
UTI,60.89640045165999,26.938400268555004,Utti Air Base
VAA,63.050701141357,21.762199401855,Vaasa Airport
VRK,62.171100616455,27.868600845337,Varkaus Airport
YLI,64.0547222,24.7252778,Ylivieska Airfield
BFS,54.6575012207,-6.21582984924,Belfast International Airport
ENK,54.39889907836914,-7.651669979095459,St Angelo Airport
BHD,54.61809921264648,-5.872499942779541,George Best Belfast City Airport
LDY,55.04280090332031,-7.161109924316406,City of Derry Airport
BHX,52.4538993835,-1.7480299472799998,Birmingham International Airport
CVT,52.3697013855,-1.47971999645,Coventry Airport
GLO,51.89419937133789,-2.1672201156616206,Gloucestershire Airport
GBA,51.668095,-2.05694,Cotswold Airport
MAN,53.35369873046875,-2.2749500274658203,Manchester Airport
NQY,50.44060134887695,-4.995409965515137,Newquay Cornwall Airport
LYE,51.5051,-1.99343,RAF Lyneham
YEO,51.0093994140625,-2.638819932937622,RNAS Yeovilton
HAW,51.83309936523438,-4.9611101150512695,Haverfordwest Airport
CWL,51.39670181274414,-3.343329906463623,Cardiff International Airport
SWS,51.60530090332031,-4.0678300857543945,Swansea Airport
BRS,51.382702,-2.71909,Bristol Airport
LPL,53.33359909057617,-2.849720001220703,Liverpool John Lennon Airport
LTN,51.87469863891602,-0.36833301186561584,London Luton Airport
PLH,50.422798,-4.10583,Plymouth City Airport
BOH,50.77999877929688,-1.8424999713897705,Bournemouth Airport
SOU,50.95029830932617,-1.3567999601364136,Southampton Airport
QLA,51.18719863891602,-1.0334999561309814,Lasham Airport
ACI,49.706103999999996,-2.2147200000000002,Alderney Airport
GCI,49.43500137329102,-2.601969957351685,Guernsey Airport
JER,49.20790100097656,-2.1955099105834956,Jersey Airport
ESH,50.835602,-0.297222,Shoreham Airport
BQH,51.330799102799986,0.032499998807900006,London Biggin Hill Airport
LGW,51.148102,-0.190278,London Gatwick Airport
LCY,51.505299,0.055277999999999994,London City Airport
FAB,51.275798797600004,-0.776332974434,Farnborough Airport
BBS,51.32389831542969,-0.8475000262260437,Blackbushe Airport
LHR,51.4706,-0.461941,London Heathrow Airport
SEN,51.5713996887207,0.6955559849739075,Southend Airport
LYX,50.95610046386719,0.939167022705078,Lydd Airport
MSE,51.342201,1.3461100000000001,Kent International Airport
CAX,54.9375,-2.8091700077056885,Carlisle Airport
BLK,53.77170181274414,-3.0286099910736084,Blackpool International Airport
HUY,53.57440185546875,-0.350832998752594,Humberside Airport
BWF,54.1286111,-3.2675,Barrow Walney Island Airport
LBA,53.86589813232422,-1.6605700254440308,Leeds Bradford Airport
WRT,53.745098,-2.88306,Warton Airport
CEG,53.1781005859375,-2.977780103683472,Hawarden Airport
IOM,54.08330154418945,-4.623889923095703,Isle of Man Airport
NCL,55.037498474121094,-1.6916699409484863,Newcastle Airport
MME,54.50920104980469,-1.4294099807739258,Durham Tees Valley Airport
EMA,52.8311004639,-1.32806003094,East Midlands Airport
KOI,58.957801818847656,-2.9049999713897705,Kirkwall Airport
LSI,59.87889862060547,-1.295560002326965,Sumburgh Airport
WIC,58.458900451660156,-3.09306001663208,Wick Airport
ABZ,57.20190048217773,-2.1977798938751216,Aberdeen Dyce Airport
INV,57.54249954223633,-4.047500133514403,Inverness Airport
GLA,55.8718986511,-4.43306016922,Glasgow International Airport
EDI,55.95000076293945,-3.372499942779541,Edinburgh Airport
ILY,55.68190002441406,-6.256669998168945,Islay Airport
PIK,55.5093994140625,-4.586669921875,Glasgow Prestwick Airport
BEB,57.48109817504883,-7.362780094146728,Benbecula Airport
SCS,60.43280029296875,-1.2961100339889526,Scatsta Airport
DND,56.45249938964844,-3.0258300304412837,Dundee Airport
SYY,58.215599060058594,-6.3311100006103525,Stornoway Airport
TRE,56.49919891357422,-6.869170188903809,Tiree Airport
ADX,56.37289810180664,-2.8684399127960205,RAF Leuchars
LMO,57.7052001953125,-3.339169979095459,RAF Lossiemouth
CBG,52.205002,0.175,Cambridge Airport
NWI,52.675800323500006,1.28278005123,Norwich International Airport
STN,51.8849983215,0.23499999940400002,London Stansted Airport
EXT,50.73440170288086,-3.4138898849487305,Exeter International Airport
FZO,51.519401550299996,-2.5908300876599997,Bristol Filton Airport
OXF,51.8368988037,-1.32000005245,Oxford (Kidlington) Airport
BEX,51.616401672399995,-1.09582996368,RAF Benson
LKZ,52.409301757799994,0.5609999895100001,RAF Lakenheath
MHZ,52.361900329589844,0.4864059984683991,RAF Mildenhall
QUY,52.357200622600004,-0.107832998037,RAF Wyton
FFD,51.6822013855,-1.7900300025900002,RAF Fairford
BZZ,51.75,-1.58362,RAF Brize Norton
ODH,51.2341003418,-0.9428250193600001,RAF Odiham
NHT,51.5530014038,-0.418166995049,RAF Northolt
QCY,53.0929985046,-0.166014000773,RAF Coningsby
BEQ,52.34260177612305,0.7729390263557434,RAF Honington
SQZ,53.307800293,-0.550832986832,RAF Scampton
